구분,신고(발견),확진,시도,시군구,읍면,리,세부주소,위도,경도,개체구분,위도_clean,경도_clean,geometry,시도_시군구
1226,2021-03-15,2021-03-16,강원도,화천군,화천읍,대이리,산86,38.099786,127.745926,폐사체,,,POINT (127.745926 38.099786),강원도 화천군
1227,2021-03-15,2021-03-16,강원도,화천군,화천읍,대이리,산75,38.100623,127.745575,폐사체,,,POINT (127.745575 38.100623),강원도 화천군
1228,2021-03-14,2021-03-16,경기도,가평군,가평읍,개곡리,산126,37.884281,127.6029,폐사체,,,POINT (127.6029 37.884281),경기도 가평군
1229,2021-03-14,2021-03-16,경기도,가평군,조종면,운악리,산100,37.876298,127.370864,폐사체,,,POINT (127.370864 37.876298),경기도 가평군
1230,2021-03-16,2021-03-17,강원도,화천군,화천읍,대이리,산115,38.097989,127.740506,폐사체,,,POINT (127.740506 38.097989),강원도 화천군
1231,2021-03-16,2021-03-17,강원도,양구군,양구읍,수인리,산1-1,38.045045,127.927118,폐사체,,,POINT (127.927118 38.045045),강원도 양구군
1232,2021-03-16,2021-03-17,강원도,춘천시,서면,당림리,산126-14,37.869545,127.612771,폐사체,,,POINT (127.612771 37.869545),강원도 춘천시
1233,2021-03-15,2021-03-17,경기도,포천시,일동면,화대리,산180,37.958726,127.362871,폐사체,,,POINT (127.362871 37.958726),경기도 포천시
1234,2021-03-15,2021-03-17,경기도,포천시,일동면,화대리,산181,37.956082,127.362303,폐사체,,,POINT (127.362303 37.956082),경기도 포천시
1235,2021-03-16,2021-03-17,경기도,연천군,청산면,대전리,산88,38.003734,127.117805,폐사체,,,POINT (127.117805 38.003734),경기도 연천군
1236,2021-03-17,2021-03-18,경기도,포천시,신북면,덕둔리,산3-1,37.976404,127.106216,폐사체,,,POINT (127.106216 37.976404),경기도 포천시
1237,2021-03-17,2021-03-18,경기도,연천군,청산면,대전리,산88,38.004326,127.117294,폐사체,,,POINT (127.117294 38.004326),경기도 연천군
1238,2021-03-17,2021-03-19,강원도,양구군,방산면,금악리,684,38.205568,127.920685,폐사체,,,POINT (127.920685 38.205568),강원도 양구군
1239,2021-03-18,2021-03-19,경기도,포천시,일동면,화대리,산182-1,37.954945,127.364142,폐사체,,,POINT (127.364142 37.954945),경기도 포천시
1240,2021-03-18,2021-03-19,경기도,연천군,청산면,대전리,산80-2,38.00118,127.126363,폐사체,,,POINT (127.126363 38.00118),경기도 연천군
1241,2021-03-18,2021-03-19,강원도,인제군,남면,관대리,산17,38.055042,128.127381,폐사체,,,POINT (128.127381 38.055042),강원도 인제군
1242,2021-03-18,2021-03-19,강원도,춘천시,서면,안보리, 산86-5,37.869526,127.578114,폐사체,,,POINT (127.578114 37.869526),강원도 춘천시
1243,2021-03-19,2021-03-21,강원도,양구군,국토정중앙면,청리,산1-1,38.086626,128.073577,폐사체,,,POINT (128.073577 38.086626),강원도 양구군
1244,2021-03-19,2021-03-21,강원도,양구군,해안면,오유리,산23,38.26713,128.103892,폐사체,,,POINT (128.103892 38.26713),강원도 양구군
1245,2021-03-19,2021-03-21,강원도,양구군,양구읍,수인리,산1-1,38.027511,127.920701,폐사체,,,POINT (127.920701 38.027511),강원도 양구군
1246,2021-03-19,2021-03-21,강원도,화천군,상서면,다목리,산1-1,38.193435,127.514962,폐사체,,,POINT (127.514962 38.193435),강원도 화천군
1247,2021-03-19,2021-03-21,경기도,연천군,청산면,대전리,산83,37.996247,127.132384,폐사체,,,POINT (127.132384 37.996247),경기도 연천군
1248,2021-03-21,2021-03-22,강원도,춘천시,북산면,청평리,594,37.967289,127.820528,폐사체,,,POINT (127.820528 37.967289),강원도 춘천시
1249,2021-03-19,2021-03-22,강원도,강릉시,주문진읍,장덕리,산405,37.87751,128.785073,폐사체,,,POINT (128.785073 37.87751),강원도 강릉시
1250,2021-03-22,2021-03-23,경기도,포천시,신북면,덕둔리,산9,37.980641,127.105969,폐사체,,,POINT (127.105969 37.980641),경기도 포천시
1251,2021-03-22,2021-03-23,강원도,화천군,사내면,명월리,산35,38.144789,127.515048,폐사체,,,POINT (127.515048 38.144789),강원도 화천군
1252,2021-03-22,2021-03-23,강원도,화천군,화천읍,대이리,산85,38.10034,127.744478,폐사체,,,POINT (127.744478 38.10034),강원도 화천군
1253,2021-03-22,2021-03-23,강원도,화천군,화천읍,대이리,산22-4,38.109749,127.746439,폐사체,,,POINT (127.746439 38.109749),강원도 화천군
1254,2021-03-22,2021-03-23,경기도,연천군,청산면,대전리,산83,37.9974746,127.127972,폐사체,,,POINT (127.127972 37.9974746),경기도 연천군
1255,2021-03-22,2021-03-23,경기도,연천군,청산면,대전리,산83,37.9974746,127.127972,폐사체,,,POINT (127.127972 37.9974746),경기도 연천군
1256,2021-03-23,2021-03-24,강원도,화천군,간동면,방천리,산11-1,38.093103,127.826144,폐사체,,,POINT (127.826144 38.093103),강원도 화천군
1257,2021-03-23,2021-03-24,강원도,화천군,간동면,방천리,산11-1,38.093103,127.826144,폐사체,,,POINT (127.826144 38.093103),강원도 화천군
1258,2021-03-23,2021-03-24,강원도,화천군,간동면,방천리,산11-1,38.093103,127.826144,폐사체,,,POINT (127.826144 38.093103),강원도 화천군
1259,2021-03-22,2021-03-24,강원도,양구군,양구읍,상리,산27,38.099732,127.957999,폐사체,,,POINT (127.957999 38.099732),강원도 양구군
1260,2021-03-22,2021-03-24,강원도,양구군,양구읍,상리,산27,38.099732,127.957999,폐사체,,,POINT (127.957999 38.099732),강원도 양구군
1261,2021-03-23,2021-03-24,강원도,양구군,양구읍,수인리,산21-1,38.035843,127.914955,폐사체,,,POINT (127.914955 38.035843),강원도 양구군
1262,2021-03-23,2021-03-24,강원도,양구군,국토정중앙면,두무리,산1-1,38.052263,128.085501,폐사체,,,POINT (128.085501 38.052263),강원도 양구군
1263,2021-03-23,2021-03-24,경기도,포천시,일동면,화대리,산185,37.954767,127.358487,폐사체,,,POINT (127.358487 37.954767),경기도 포천시
1264,2021-03-23,2021-03-25,경기도,포천시,신북면,덕둔리,산3-1,37.982854,127.115606,폐사체,,,POINT (127.115606 37.982854),경기도 포천시
1265,2021-03-23,2021-03-25,경기도,포천시,신북면,덕둔리,산3-1,37.983059,127.115319,폐사체,,,POINT (127.115319 37.983059),경기도 포천시
1266,2021-03-24,2021-03-25,강원도,화천군,화천읍,대이리,산1,38.111889,127.747936,폐사체,,,POINT (127.747936 38.111889),강원도 화천군
1267,2021-03-24,2021-03-25,강원도,춘천시,서면,덕두원리,산163-7,37.887521,127.617176,폐사체,,,POINT (127.617176 37.887521),강원도 춘천시
1268,2021-03-24,2021-03-26,강원도,양구군,국토정중앙면,두무리,산1-1,38.056565,128.087963,폐사체,,,POINT (128.087963 38.056565),강원도 양구군
